images,masks
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i1.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i10.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m10.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i100.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m100.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i101.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m101.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i102.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m102.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i103.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m103.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i104.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m104.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i105.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m105.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i106.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m106.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i107.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m107.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i108.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m108.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i109.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m109.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i11.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m11.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i110.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m110.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i111.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m111.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i112.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m112.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i113.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m113.png
